,0,1
19,"Gemensamma författningssamlingen avseende hälso- och sjukvård, socialtjänst, läkemedel, folkhälsa m.m. (HSLF-FS)",https://kunskapsguiden.se/gemensam-forfattningssamling/
20,Gotlands läns författningssamling (09FS),https://www.lansstyrelsen.se/gotland/om-oss/om-lansstyrelsen-i-gotlands-lan/forfattningar.html
21,Gävleborgs läns författningssamling (21FS),https://www.lansstyrelsen.se/gavleborg/om-oss/om-lansstyrelsen-i-gavleborgs-lan/forfattningar.html
22,Hallands läns författningssamling (13FS),https://www.lansstyrelsen.se/halland/om-oss/om-lansstyrelsen-i-hallands-lan/forfattningar.html
23,Havs- och vattenmyndighetens författningssamling (HVMFS),https://www.havochvatten.se/vagledning-foreskrifter-och-lagar/foreskrifter.html
24,Inspektionen för arbetslöshetsförsäkringens författningssamling (IAFFS),https://www.iaf.se/Lag-ratt/Foreskrifter/
25,Inspektionen för strategiska produkters föreskrifter (publiceras i Tullverkets serie),https://www.tullverket.se/sv/omoss/lagarochforeskrifter/tullverketsforfattningssamlingtfs.4.7df61c5915510cfe9e7f3e3.html
26,Inspektionen för vård och omsorgs föreskrifter (se också Gemensamma författningssamlingen HSLF-FS),https://www.ivo.se/publicerat-material/foreskrifter/
27,Integritetsskyddsmyndighetens författningssamling (IMYFS),https://www.imy.se/om-oss/aktuellt-fran-oss/foreskrifter-och-allmanna-rad/
28,Jämtlands läns författningssamling (23FS),https://www.lansstyrelsen.se/jamtland/om-oss/om-lansstyrelsen-i-jamtlands-lan/forfattningar.html
29,Jönköpings läns författningssamling (06FS),https://www.lansstyrelsen.se/jonkoping/om-oss/om-lansstyrelsen-i-jonkopings-lan/forfattningar.html
30,Kalmars läns författningssamling (08FS),https://www.lansstyrelsen.se/kalmar/om-oss/om-lansstyrelsen-i-kalmar-lan/forfattningar.html
31,Kammarkollegiets författningssamling (KAMFS),https://www.kammarkollegiet.se/om-oss/kammarkollegiets-forfattningssamling-kamfs
32,Kemikalieinspektionens författningssamling (KIFS),https://www.kemi.se/lagar-och-regler/kemikalieinspektionens-foreskrifter-kifs
33,Kommerskollegiums författningssamling (KFS),https://www.kommerskollegium.se/om-oss/uppdrag/forfattningssamling/
34,Konkurrensverkets författningssamling (KKVFS),https://www.konkurrensverket.se/Konkurrensverkets-forfattningssamling-KKVFS/
35,Konsumentverkets författningssamling (KOVFS),https://publikationer.konsumentverket.se/sv/sok/kovfs
36,Kriminalvårdens författningssamling (KVFS),https://www.kriminalvarden.se/om-kriminalvarden/styrning-och-regelverk/lagar-forordningar-och-foreskrifter
37,Kronobergs läns författningssamling (07FS),https://www.lansstyrelsen.se/kronoberg/om-oss/om-lansstyrelsen-i-kronobergs-lan/forfattningar.html
38,Kronofogdemyndighetens författningssamling (KFMFS),https://www.kronofogden.se/Foreskrifter.html
39,Kustbevakningens författningssamling (KBVFS),https://www.kustbevakningen.se/om-oss/kustbevakningens-forfattningssamling/
40,Lantmäteriets författningssamling (LMFS),https://www.lantmateriet.se/sv/Om-Lantmateriet/Rattsinformation/Foreskrifter/
41,Livsmedelsverkets författningssamling (LIVSFS),https://www.livsmedelsverket.se/om-oss/lagstiftning1/foreskrifter-i-nummerordning
42,Luftfartsverkets föreskrifter (publiceras i Transportstyrelsens serie),https://www.transportstyrelsen.se/sv/Regler/
