item Objekt,itemLabel,P1031 Jurdiskt utskott,P7277 utskottLabel,Sveriges Riksdags dokument P8433 Protokoll som är källa,,
http://www.wikidata.org/entity/Q98004184,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:122,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004203,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:123,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004231,"Vissa ekonomisk-politiska åtgärder, m.m. (prop. 1984/85:45)",Mot. 1984/85:124,Finansutskottet,G80925,"yrkandena 2-7 till skatteutskottet, 9-11 till arbetsmarknadsutskottet ",
http://www.wikidata.org/entity/Q98004250,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:125,Finansutskottet,G80925,,
http://www.wikidata.org/entity/Q98004261,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:126,Skatteutskottet,G80925,,
http://www.wikidata.org/entity/Q98004281,"Vissa ekonomisk-politiska åtgärder, m. m. (prop. 1984/85:45)",Mot. 1984/85:127,Arbetsmarknadsutskottet,G80925,,
http://www.wikidata.org/entity/Q98004298,Effektivare företagsrevision (prop. 1984/85:30),Mot. 1984/85:128,Lagutskottet,G80927,,
http://www.wikidata.org/entity/Q98004315,Effektivare företagsrevision (prop. 1984/85:30),Mot. 1984/85:129,Lagutskottet,G80927,,
http://www.wikidata.org/entity/Q98004329,Effektivare företagsrevision (prop.l984/85:30),Mot. 1984/85:130,Lagutskottet,G80927,,
http://www.wikidata.org/entity/Q98004340,Riktlinjer för den ekonomiska politiken på medellång sikt (prop.  1984/85:40),Mot. 1984/85:131,Finansutskottet,G80927,,
http://www.wikidata.org/entity/Q98004359,Riktlinjer för den ekonomiska politiken på medellång sikt (prop.  1984/85:40),Mot. 1984/85:132,Finansutskottet,G80927,,
http://www.wikidata.org/entity/Q98004378,Riktlinjer för den ekonomiska politiken på medellång sikt (prop.  1984/85:40),Mot. 1984/85:133,Finansutskottet,G80927,,
http://www.wikidata.org/entity/Q98004380,Riktlinjer för den ekonomiska politiken på medellång sikt (prop.  1984/85:40),Mot. 1984/85:134,Finansutskottet,G80927,,
http://www.wikidata.org/entity/Q98004394,Höjning av skatterna på alkoholdrycker och tobak (prop. 1984/85:43),Mot. 1984/85:135,Skatteutskottet,G80927,,
http://www.wikidata.org/entity/Q98004415,Vissa ändringar i lagen (1977:293) om handel med drycker (prop.  1984/85:44),Mot. 1984/85:136,Skatteutskottet,G80927,,
http://www.wikidata.org/entity/Q98004430,Vissa ändringar i lagen (1977:293) om handel med drycker (prop.,Mot. 1984/85:137,Skatteutskottet,G80927,,
http://www.wikidata.org/entity/Q98004434,Vissa ändringar i lagen (1977:293) om handel med drycker (prop.  1984/85:44),Mot. 1984/85:138,Skatteutskottet,G80927,,
http://www.wikidata.org/entity/Q98004449,Vissa ändringar i lagen (1977:293) om handel med drycker (prop.  1984/85:44),Mot. 1984/85:139,Skatteutskottet,G80927,,
http://www.wikidata.org/entity/Q98004460,Styrelseordförande i affärsbank (prop. 1984/85:35),Mot. 1984/85:140,Näringsutskottet,G80928,,
http://www.wikidata.org/entity/Q98004471,Styrelseordförande i affärsbank (prop. 1984/85:35),Mot. 1984/85:141,Näringsutskottet,G80928,,
http://www.wikidata.org/entity/Q98004482,Styrelseordförande i affärsbank (prop. 1984/85:35),Mot. 1984/85:142,Näringsutskottet,G80928,,
http://www.wikidata.org/entity/Q98004489,"Ändringar i narkotikastrafflagen (1968:64), m. m. (prop. 1984/85:46)",Mot. 1984/85:143,Justitieutskottet,G80929,,
http://www.wikidata.org/entity/Q98004506,"Ändringar i narkotikastrafflagen (1968:64), m. m. (prop. 1984/85:46)",Mot. 1984/85:144,Justitieutskottet,G80929,,
http://www.wikidata.org/entity/Q98004515,"Ändringar i narkotikastrafflagen (1968:64), m. m. (prop. 1984/85:46)",Mot. 1984/85:145,Justitieutskottet,G80929,,
http://www.wikidata.org/entity/Q98004526,Förslag till lag om internationell järnvägstrafik m. m. (1984/85:33),Mot. 1984/85:146,Lagutskottet,G80934,,
http://www.wikidata.org/entity/Q98004538,Förslag till lag om internationell järnvägstrafik m. m. (prop. 1984/  85:33),Mot. 1984/85:147,Lagutskottet,G80934,,
http://www.wikidata.org/entity/Q98004555,Vuxenutbildningslag (prop. 1984/85:37),Mot. 1984/85:148,Utbildningsutskottet,G80934,,
http://www.wikidata.org/entity/Q98004563,Vuxenutbildningslag (prop. 1984/85:37),Mot. 1984/85:149,Utbildningsutskottet,G80934,,
http://www.wikidata.org/entity/Q98004571,"Preskriptionshinder vid skattebrott, m. m. (prop. 1984/85:47)",Mot. 1984/85:150,Justitieutskottet,G80934,,
http://www.wikidata.org/entity/Q98004580,"Preskriptionshinder vid skattebrott, m. m. (prop. 1984/85:47)",Mot. 1984/85:151,Justitieutskottet,G80934,,
http://www.wikidata.org/entity/Q98004591,"Preskriptionshinder vid skattebrott, m. m. (prop. 1984/85:47)",Mot. 1984/85:152,Justitieutskottet,G80934,,
http://www.wikidata.org/entity/Q98004606,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:153,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004615,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:154,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004629,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:155,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004641,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:156,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004647,Familjeplanering och abortvård (1984/85:48),Mot. 1984/85:157,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004667,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:158,Socialutskottet,G80934,,
http://www.wikidata.org/entity/Q98004670,Familjeplanering och abortvård (prop. 1984/85:48),Mot. 1984/85:159,Socialutskottet,G80934,,
https://www.wikidata.org/wiki/Q114960705,"Ändring i tullagen (1973:670), m. m. (prop. 1984/85:50)",Mot. 1984/85:160,Skatteutskottet,G80934,,
http://www.wikidata.org/entity/Q98004690,Bosparande för ungdomar och andra sparfrågor (prop. 1984/85:51),Mot. 1984/85:161,Finansutskottet,G80934,,
http://www.wikidata.org/entity/Q98004702,Bosparande för ungdomar och andra sparfrågor (prop. 1984/85:51),Mot. 1984/85:162,Finansutskottet,G80934,,
http://www.wikidata.org/entity/Q98004710,Bosparande för ungdomar och andra sparfrågor (prop. 1984/85:51),Mot. 1984/85:163,Finansutskottet,G80934,,
http://www.wikidata.org/entity/Q98004721,Förslag till lag om förbud mot investeringar i Sydafrika och Namibia  (prop. 1984/85:56),Mot. 1984/85:164,Utrikesutskottet,G80934,,
http://www.wikidata.org/entity/Q98004729,Förslag till lag om förbud mot investeringar i Sydafrika och Namibia  (prop. 1984/85:56),Mot. 1984/85:165,Utrikesutskottet,G80934,,
http://www.wikidata.org/entity/Q98004736,Förslag till lag om förbud mot investeringar i Sydafrika och Namibia  (prop. 1984/85:56),Mot. 1984/85:166,Utrikesutskottet,G80934,,
http://www.wikidata.org/entity/Q98004747,Förslag till lag om förbud mot investeringar i Sydafrika och Namibia  (prop. 1984/85:56),Mot. 1984/85:167,Utrikesutskottet,G80934,,
